"id","name","latitude","longitude"
240,"South Wimbledon",51.4154,-0.1919
241,"South Woodford",51.5917,0.0275
242,"Stamford Brook",51.495,-0.2459
243,"Stanmore",51.6194,-0.3028
244,"Stepney Green",51.5221,-0.047
245,"Stockwell",51.4723,-0.123
246,"Stonebridge Park",51.5439,-0.2759
247,"Stratford",51.5416,-0.0042
248,"St. James's Park",51.4994,-0.1335
249,"St. John's Wood",51.5347,-0.174
250,"St. Paul's",51.5146,-0.0973
251,"Sudbury Hill",51.5569,-0.3366
252,"Sudbury Town",51.5507,-0.3156
253,"Surrey Quays",51.4933,-0.0478
254,"Swiss Cottage",51.5432,-0.1738
255,"Temple",51.5111,-0.1141
257,"Tooting Bec",51.4361,-0.1598
258,"Tooting Broadway",51.4275,-0.168
259,"Tottenham Court Road",51.5165,-0.131
260,"Tottenham Hale",51.5882,-0.0594
262,"Tower Gateway",51.5106,-0.0743
263,"Tower Hill",51.5098,-0.0766
264,"Tufnell Park",51.5567,-0.1374
265,"Turnham Green",51.4951,-0.2547
266,"Turnpike Lane",51.5904,-0.1028
267,"Upminster",51.559,0.251
268,"Upminster Bridge",51.5582,0.2343
269,"Upney",51.5385,0.1014
270,"Upton Park",51.5352,0.0343
271,"Uxbridge",51.5463,-0.4786
272,"Vauxhall",51.4861,-0.1253
273,"Victoria",51.4965,-0.1447
274,"Walthamstow Central",51.583,-0.0195
275,"Wanstead",51.5775,0.0288
276,"Wapping",51.5043,-0.0558
277,"Warren Street",51.5247,-0.1384
278,"Warwick Avenue",51.5235,-0.1835
279,"Waterloo",51.5036,-0.1143
281,"Wembley Central",51.5519,-0.2963
282,"Wembley Park",51.5635,-0.2795
283,"Westbourne Park",51.521,-0.2011
284,"Westferry",51.5097,-0.0265
285,"Westminster",51.501,-0.1254
286,"West Acton",51.518,-0.2809
287,"West Brompton",51.4872,-0.1953
288,"West Finchley",51.6095,-0.1883
289,"West Ham",51.5287,0.0056
290,"West Hampstead",51.5469,-0.1906
291,"West Harrow",51.5795,-0.3533
292,"West India Quay",51.507,-0.0203
293,"West Kensington",51.4907,-0.2065
294,"West Ruislip",51.5696,-0.4376
295,"Whitechapel",51.5194,-0.0612
296,"White City",51.512,-0.2239
297,"Willesden Green",51.5492,-0.2215
298,"Willesden Junction",51.5326,-0.2478
299,"Wimbledon",51.4214,-0.2064
300,"Wimbledon Park",51.4343,-0.1992
301,"Woodford",51.607,0.0341
302,"Woodside Park",51.6179,-0.1856
303,"Wood Green",51.5975,-0.1097
35,"Brixton",51.4627,-0.1145
6,"Amersham",51.6736,-0.607
23,"Bermondsey",51.4979,-0.0637
50,"Chesham",51.7052,-0.611
46,"Chalfont & Latimer",51.6679,-0.561
53,"Chorleywood",51.6543,-0.5183
214,"Rickmansworth",51.6404,-0.4733
62,"Croxley",51.647,-0.4412
280,"Watford",51.6573,-0.4177
221,"Ruislip Gardens",51.5606,-0.4103
121,"High Barnet",51.6503,-0.1943
261,"Totteridge & Whetstone",51.6302,-0.1791
57,"Cockfosters",51.6517,-0.1496
187,"Oakwood",51.6476,-0.1318
